F1,F2,F3,F4
3.8308,0.2155,3.3944,0.3277
3.8314,0.2155,3.3936,0.3274
3.8325,0.2233,3.3937,0.3268
3.8317,0.2154,3.3956,0.3273
3.8239,0.2168,3.3939,0.3277
3.8312,0.2158,3.3939,0.3277
3.8312,0.2158,3.3933,0.3276
3.8315,0.2158,3.3999,0.3341
3.8311,0.2152,3.3992,0.3332
3.8311,0.2155,3.4005,0.3336
3.8333,0.2233,3.3887,0.3321
3.8331,0.2303,3.3884,0.3323
3.8323,0.2224,3.3887,0.3321
3.8327,0.223,3.3887,0.3321
3.8336,0.223,3.3881,0.332
3.8333,0.223,3.3873,0.3322
3.8318,0.2157,3.3944,0.3277
3.8318,0.2157,3.3962,0.3258
3.8247,0.2236,3.3962,0.3264
3.8316,0.2229,3.3948,0.3257
3.8241,0.2242,3.3958,0.325
3.8325,0.2229,3.3968,0.3285
3.8333,0.231,3.3957,0.3279
3.8239,0.2244,3.3962,0.3271
3.8239,0.2244,3.3958,0.3266
3.825,0.2243,3.3972,0.3277
3.8241,0.224,3.3964,0.3273
3.8323,0.2234,3.3954,0.3272
3.8247,0.2242,3.395,0.3279
3.8251,0.2246,3.3959,0.327
3.8245,0.2243,3.3874,0.3334
3.8239,0.2243,3.3901,0.3199
3.8242,0.2246,3.3908,0.3189
3.8237,0.2236,3.3946,0.3288
3.8237,0.2245,3.3878,0.3353
3.8248,0.2237,3.3944,0.3272
3.8245,0.224,3.387,0.3337
3.8238,0.2247,3.3853,0.3326
3.8232,0.2247,3.3937,0.3262
3.8235,0.2245,3.3953,0.327
3.8307,0.2232,3.3885,0.3202
3.8236,0.2246,3.3867,0.3329
3.8242,0.2243,3.3862,0.3329
3.8234,0.2246,3.3949,0.3279
3.8231,0.2246,3.3811,0.3274
3.823,0.2238,3.3871,0.3332
3.8233,0.2238,3.3866,0.3326
3.8224,0.2244,3.3876,0.3339
3.8224,0.2238,3.3869,0.333
3.8234,0.2242,3.3875,0.3343
3.824,0.2245,3.3881,0.3343
3.8243,0.2325,3.3854,0.3339
3.823,0.225,3.393,0.3277
3.8228,0.2244,3.3856,0.3319
3.8241,0.2246,3.385,0.3324
3.823,0.225,3.385,0.3332
3.8224,0.2244,3.3854,0.3329
3.8226,0.2243,3.3859,0.3342
3.8232,0.2246,3.3805,0.3279
3.8226,0.2243,3.3802,0.3274
3.8226,0.2243,3.3801,0.3285
3.8219,0.2246,3.3778,0.3263
3.8213,0.225,3.3783,0.3263
3.8225,0.2246,3.379,0.3271
3.8216,0.2249,3.3793,0.3273
3.8292,0.2232,3.3786,0.3269
3.8295,0.2235,3.3845,0.3338
3.8226,0.2245,3.3771,0.3264
3.823,0.2248,3.3769,0.3261
3.8208,0.2244,3.3782,0.3278
3.8211,0.2244,3.3782,0.3278
3.8211,0.224,3.3869,0.3336
3.8211,0.2246,3.38,0.3273
3.8284,0.2227,3.3785,0.3283
3.8293,0.2232,3.3851,0.3342
3.8211,0.2248,3.3861,0.3215
3.8208,0.2246,3.3865,0.3207
3.8287,0.2233,3.3789,0.3272
3.8284,0.223,3.3791,0.3275
3.8209,0.2249,3.3873,0.3231
3.8212,0.2246,3.3864,0.3233
3.8209,0.2243,3.3854,0.322
3.8209,0.2246,3.3858,0.3218
3.8289,0.2305,3.3782,0.3274
3.8287,0.2232,3.379,0.3277
3.828,0.2236,3.3768,0.3275
3.8277,0.2239,3.377,0.3278
3.82,0.2246,3.387,0.3198
3.8147,0.2245,3.3814,0.3228
3.8227,0.2238,3.3832,0.3252
3.823,0.2235,3.3828,0.3241
3.8227,0.2229,3.3819,0.3247
3.8227,0.2229,3.3827,0.3251
3.823,0.2229,3.3836,0.3244
3.8216,0.2234,3.3765,0.3174
3.8228,0.2234,3.3827,0.324
3.8222,0.2234,3.3885,0.3325
3.8222,0.2237,3.3889,0.3317
3.8214,0.2233,3.3818,0.3261
3.8223,0.2236,3.3821,0.3245
3.8303,0.2306,3.4004,0.3262
3.8309,0.2307,3.3935,0.3319
3.8312,0.231,3.3931,0.3327
3.8309,0.231,3.3926,0.3327
3.8149,0.2239,3.3814,0.3253
3.8152,0.2242,3.3812,0.325
3.8149,0.2234,3.3826,0.325
3.8149,0.224,3.3757,0.3311
3.8139,0.225,3.3817,0.3241
3.8147,0.2246,3.3817,0.3241
3.8145,0.2246,3.3738,0.3315
3.8151,0.2252,3.3748,0.3322
3.8145,0.2243,3.3732,0.3316
,,,0.3312
3.8327,0.223,3.3884,0.3323
3.8331,0.2306,3.3812,0.3258
3.8325,0.2307,3.3947,0.3318
3.8325,0.231,3.3953,0.3313
3.8316,0.231,3.395,0.3316
3.8322,0.2313,3.3882,0.3248
3.8392,0.23,3.3882,0.3243
3.8392,0.2303,3.3877,0.3242
3.8325,0.2307,3.3954,0.3315
3.8397,0.2297,3.3944,0.3309
3.8395,0.2303,3.3943,0.3314
3.8392,0.2303,3.3951,0.3318
3.8404,0.2303,3.3943,0.3314
3.8398,0.2303,3.3949,0.3315
3.8322,0.2307,3.3942,0.332
3.8322,0.231,3.3958,0.3307
3.8319,0.2314,3.3948,0.332
3.8398,0.2306,3.3946,0.3312
3.8408,0.2295,3.3901,0.3264
3.8411,0.2301,3.3968,0.319
3.8402,0.2299,3.3964,0.3192
3.8408,0.2295,3.3897,0.3252
3.8396,0.2296,3.3889,0.3268
3.8402,0.2293,3.3885,0.3262
3.8402,0.2305,3.3964,0.3197
3.8399,0.2293,3.3947,0.3335
3.8393,0.2299,3.403,0.3268
3.8396,0.2296,3.4027,0.327
3.8338,0.2237,3.407,0.3259
3.8335,0.2234,3.4061,0.3261
3.8338,0.2234,3.4064,0.3258
3.8338,0.2231,3.4063,0.3264
3.8335,0.2237,3.4054,0.3266
3.8341,0.2237,3.4055,0.326
3.8327,0.2233,3.3823,0.3264
3.8334,0.2306,3.3815,0.3261
3.8338,0.2232,3.3898,0.3201
3.8336,0.2236,3.3898,0.3201
3.8332,0.2233,3.3892,0.3206
3.8322,0.2304,3.3892,0.3201
3.8337,0.2306,3.3896,0.3212
3.8332,0.2227,3.3892,0.3206
3.833,0.2236,3.3892,0.3206
3.8323,0.223,3.3958,0.3266
3.832,0.2234,3.3957,0.3276
3.8323,0.2227,3.3951,0.3276
3.8328,0.23,3.3949,0.3273
3.8261,0.2241,3.3897,0.3315
3.8261,0.2241,3.3897,0.3315
3.8258,0.2244,3.3898,0.3323
3.826,0.2317,3.3893,0.3323
3.8258,0.2235,3.3893,0.3323
3.8257,0.2315,3.3892,0.3328
3.8255,0.2245,3.3893,0.3323
3.8252,0.2245,3.3893,0.3323
3.826,0.2317,3.3879,0.3319
3.8255,0.2245,3.3888,0.3317
3.8276,0.2241,3.3894,0.3328
3.8272,0.2311,3.3901,0.3323
3.8272,0.2317,3.3895,0.3323
3.8273,0.2238,3.3897,0.3326
3.8272,0.2314,3.389,0.3322
3.8275,0.2317,3.3897,0.3326
3.8271,0.2244,3.3892,0.3325
3.8279,0.2237,3.3908,0.3194
3.8275,0.2308,3.3903,0.3193
3.8275,0.2311,3.3906,0.3191
3.8272,0.2233,3.3831,0.3246
3.8281,0.2232,3.3828,0.3243
3.8275,0.2236,3.3832,0.3241
3.828,0.2306,3.3831,0.3246
3.8277,0.2312,3.3817,0.3247
3.828,0.2309,3.3813,0.325
3.8277,0.2309,3.3822,0.3248
3.8271,0.2169,3.3751,0.3296
3.8342,0.2232,3.3747,0.3304
3.8263,0.2237,3.3749,0.3307
3.843,0.222,3.3844,0.3275
3.8359,0.2301,3.3846,0.3278
3.8435,0.2294,3.392,0.3208
3.8436,0.2223,3.3839,0.3269
3.843,0.2224,3.3916,0.3202
3.8356,0.2304,3.3839,0.3269
3.8432,0.2297,3.3912,0.321
3.8433,0.2361,3.4041,0.3342
3.8435,0.2294,3.4046,0.3348
3.8436,0.2367,3.3974,0.3282
3.8311,0.2316,3.4001,0.3248
3.8302,0.2311,3.4002,0.3243
3.8305,0.231,3.3939,0.3189
3.8303,0.224,3.3938,0.3175
3.8302,0.2314,3.4003,0.3251
3.8299,0.2314,3.3998,0.3251
3.8296,0.2314,3.4001,0.3248
3.8301,0.2252,3.3935,0.3178
3.8301,0.2252,3.3941,0.3178
3.8302,0.2323,3.4002,0.3243
3.838,0.2305,3.3928,0.3298
3.8371,0.2305,3.3919,0.3305
3.8368,0.23,3.3924,0.3305
3.8371,0.2305,3.3924,0.3305
3.8371,0.2305,3.3919,0.3305
3.8365,0.23,3.3919,0.3305
3.8368,0.2303,3.3855,0.3243
3.8364,0.2229,3.3856,0.3238
3.82,0.2243,3.3856,0.32
3.827,0.2241,3.3781,0.3277
3.827,0.2235,3.3767,0.3279
3.8275,0.2305,3.3849,0.3212
3.8273,0.2232,3.3857,0.321
3.8203,0.224,3.3848,0.3221
3.8206,0.2246,3.3848,0.3221
3.8263,0.2161,3.3848,0.3208
3.8191,0.2162,3.3845,0.3211
3.8192,0.2242,3.3861,0.3221
3.8258,0.2236,3.3859,0.3213
3.8264,0.223,3.3841,0.3209
3.8197,0.2231,3.3845,0.3201
3.8202,0.2255,3.3834,0.3205
3.8205,0.2252,3.3832,0.3197
3.8274,0.2232,3.3857,0.3218
3.8272,0.2235,3.3858,0.3213
3.8198,0.225,3.3838,0.3214
3.8267,0.2234,3.3836,0.3211
3.8272,0.2237,3.3856,0.3205
3.821,0.2317,3.3873,0.3201
3.8262,0.2236,3.3839,0.3198
3.819,0.2244,3.3845,0.3198
3.819,0.2255,3.3838,0.3212
3.8187,0.2252,3.3838,0.3212
3.8197,0.2235,3.3788,0.326
3.8191,0.2236,3.3788,0.326
3.8185,0.2249,3.3766,0.329
3.8188,0.2249,3.3757,0.3292
3.8182,0.2246,3.384,0.3201
3.8176,0.2246,3.3845,0.3202
3.8184,0.224,3.3769,0.3294
3.8193,0.2245,3.3774,0.3294
3.8182,0.2249,3.3759,0.3264
3.8185,0.2248,3.3764,0.327
3.819,0.2242,3.3815,0.3359
3.8187,0.2242,3.3823,0.3363
3.8195,0.2247,3.382,0.336
3.8189,0.2251,3.3823,0.3357
3.8177,0.2248,3.3755,0.3285
3.8189,0.2251,3.376,0.3285
3.8179,0.2248,3.3827,0.3357
3.8191,0.2247,3.3822,0.3351
3.8187,0.225,3.3906,0.3295
3.8187,0.2244,3.39,0.3294
3.8184,0.2247,3.381,0.3345
3.8183,0.2241,3.3811,0.334
3.825,0.2238,3.3853,0.3227
3.8244,0.2235,3.3913,0.3285
