Johnson Su[F1],Johnson Sb[F2],Johnson Sb[F3],Johnson Su[F4]
2.0099372073,0.9591626037,-0.863306282,2.0728008844
0.3275662344,-0.376329071,-1.953657531,-0.117797187
-3.812207667,,-5.307563409,-3.151549445
-4.453791464,-2.309874079,-5.648826629,-2.277432541
-3.932345553,-2.147808336,-5.544151592,-1.772593972
-3.936998732,,-5.440271501,-2.916665542
-4.008738482,-3.678389572,-5.518140913,-2.896581901
-3.223272447,,-5.054054396,-2.940481316
-3.279164074,-3.329579033,-5.151856788,-2.858019592
-3.393507051,-3.377615282,-5.078903398,-3.111555222
-3.310727676,-2.435429712,-5.098124933,-3.007218135
-3.705201674,-2.493906572,-5.428582453,-2.652495125
-5.173123257,-3.421838858,-6.004617233,-2.446900951
-4.6369362,-2.576572393,-5.844962773,-2.170408914
-3.570913834,-2.795260778,-5.354448598,-2.875691536
-3.919792545,-3.62542944,-5.482331416,-2.989318263
-2.978611416,-2.078010351,-4.965327771,-1.766756985
-3.374398751,-2.108189949,-5.17003699,-1.539205199
-3.491915942,-2.061134992,-5.282366241,-1.766814982
-3.911887874,-2.8041331,-5.370707701,-1.979655561
-3.16273941,-2.243235191,-5.00192243,-1.578965595
-2.892448381,-2.334287865,-4.933866794,-2.615211541
-3.216313045,-2.113547639,-5.095378734,-1.700040202
-2.881412595,-1.986252351,-4.899656671,-1.678792013
-3.556700637,-2.979957573,-5.216632759,-1.749271134
-3.364739716,-2.167909471,-5.148154393,-1.69341463
-4.117069367,-2.539663711,-5.558118513,-2.168771647
-2.829378142,-1.685962437,-4.930837472,-1.166241573
-3.470618774,-2.516440768,-5.214779939,-2.15105614
-3.716722972,-2.486236273,-5.318117396,-1.938407686
-3.349624033,-2.298866189,-5.11066894,-1.716013829
-2.941122497,-1.88024387,-4.906583395,-1.256567171
-3.443825462,-2.363380209,-5.182352635,-1.707901968
-4.269420381,,-5.525307471,-2.290813136
-3.903241684,-2.531241472,-5.465631431,-2.074407136
-3.306772425,-2.359379695,-5.110721141,-1.785876015
-3.701044163,-2.359379695,-5.392198566,-2.522154226
-2.900441525,-2.915164633,-4.836440816,-1.725996692
-3.463301677,-2.879179585,-5.219943281,-2.996602893
-2.736750749,-1.990227871,-4.782038991,-2.842087697
-2.503043776,-1.716653977,-4.714117294,-2.348226625
-3.065990452,-2.151124734,-4.945907399,-2.977662893
-3.181948869,-1.835562212,-5.122457185,-2.749861349
-2.645501523,-1.411977979,-4.751583951,-2.257511186
-3.457661909,-2.552048218,-5.226560266,-2.198035256
-3.091017089,-2.028642753,-5.030227311,-1.589473157
-4.354478721,-3.081893822,-5.66413012,-2.273948997
-3.485734737,-2.381157404,-5.266954279,-2.343108058
-2.821647139,-1.943417755,-4.875696306,-2.740260116
-2.437855071,-1.639905384,-4.640497765,-1.74510423
-3.431616632,-2.54177515,-5.142783987,-1.719296651
-2.328220018,-1.431733871,-4.596708386,-2.284613322
-2.032069909,-1.446686012,-4.360844774,-1.740666766
-2.268523307,-1.683458449,-4.520116081,-2.25761145
-2.244387249,-1.658029328,-4.486582091,-2.07794525
-2.452357623,-1.656613883,-4.607914217,-2.251694544
-2.646038022,-1.453484719,-4.708718483,-2.492573064
-2.033218572,-1.246674503,-4.400824073,-2.072654237
-2.643640111,-1.907787209,-4.746592296,-2.443169976
-1.610231595,-1.49224289,-3.960057958,-1.207377584
-1.770071396,-1.412127781,-4.10452282,-1.991777039
-2.257907418,-1.164630875,-4.637909026,-1.899175894
-1.605844886,-0.979910184,-4.082206715,-1.551116152
-1.62786957,-0.980549485,-4.04211083,-1.80394619
-2.696955954,-1.936227608,-4.761247247,-2.324661364
-2.612419933,-2.27080949,-4.658950839,-2.545434763
-2.629334447,-2.227246399,-4.680523663,-2.28697347
-1.640983729,-1.179796884,-4.066446448,-0.796090269
-2.830817739,-2.712273713,-4.789090277,-2.49949521
-1.822461055,-1.650874157,-4.124053258,-1.74213318
-1.229378234,-0.958636519,-3.758559409,-1.167212351
-2.347896603,-1.588600133,-4.548846371,-1.80567406
-1.520315426,-1.196025074,-3.979870996,-0.703885016
-1.787823394,-1.24364243,-4.178877571,-0.915803667
-1.716661653,-1.280242951,-4.108082901,-1.100013453
-1.665926797,-1.121523921,-4.056149228,-1.617895396
-1.668101153,-1.12864378,-4.119040502,-1.578773927
-1.943023787,-1.245933574,-4.283683517,-2.1090583
-1.418412269,-1.034284885,-3.843602948,-1.303886906
-1.409049856,-1.039131662,-3.837192474,-1.310739547
-1.286641743,-1.082083841,-3.76006535,-0.671072747
-1.14897325,-1.101464938,-3.647689675,-0.653287755
-1.567763346,-1.254382216,-4.031745338,-0.828621156
-1.37811545,-1.660327964,-3.710301058,-1.402099457
-1.185424169,-1.717311405,-3.514758352,-1.163909308
-1.294788794,-1.425273161,-3.656075064,-1.36361076
-2.092530961,-1.040213999,-4.497733633,-2.11476127
-1.539429588,-1.263951831,-3.94744091,-1.518911552
-2.086181375,-1.235805032,-4.421986051,-2.194488125
-1.686718553,-0.909802852,-4.185156586,-1.780487937
-2.579249527,-1.347945705,-4.782297026,-2.03372275
-2.16199648,-1.036373556,-4.579795926,-1.938107651
-1.63279756,-0.955149084,-4.091533652,-1.71800289
-2.025629406,-1.266951365,-4.409739301,-1.349499503
-1.188149067,-0.689911057,-3.732660115,-0.827314423
-2.349798436,-1.358750139,-4.532837907,-2.277548621
-1.391656207,-1.036426264,-3.810375388,-1.177220821
-1.780947381,-1.344004949,-4.116982989,-1.469995657
-1.932446659,-1.238179339,-4.236918172,-1.38492714
-1.508961083,-0.928769644,-3.954015368,-1.253560358
-0.898703446,-0.642431206,-3.525715232,-0.39083728
-0.730609447,-0.706072023,-3.299170699,-0.406889862
-1.050973566,-0.927095287,-3.573840563,-0.491100913
-1.750523168,-1.040323964,-4.181685228,-1.664307575
-1.108114058,-0.941045137,-3.616145719,-0.460625354
-0.778391819,-1.082493695,-3.221513552,-0.483425249
-2.814889702,-1.573329298,-4.902648284,-2.738232753
-2.528849156,-1.79084058,-4.610401852,-2.943056056
-1.977955599,-0.994522715,-4.29182597,-1.908900329
-0.873677641,-0.530701353,-3.450051399,-0.486837006
-0.884259448,-0.480715917,-3.542143122,-0.420610663
-1.328739797,-0.615497245,-3.892142097,-0.929839007
-1.691716559,-0.895584327,-4.115997663,-1.254797658
-1.114127331,-0.731038804,-3.641148616,-0.592328654
-1.379321611,-0.860237927,-3.836951244,-1.104968704
-0.259316684,-0.625870531,-2.800849202,0.0222244985
-0.220485421,-0.144843281,-3.111515605,0.4715166281
-0.242638441,-0.50691103,-2.887948768,0.2188928868
-0.497425615,-0.482860208,-3.19167868,0.0560456842
-0.452983248,-0.235127559,-3.167865031,0.1395575176
-0.005834104,0.0083278046,-2.916853956,0.5669272008
-0.01124829,0.0074317921,-2.939300725,0.5427068304
-0.028653853,0.1028400618,-3.008630829,0.5726145774
0.695487038,0.0422487513,-1.98773902,1.0263540809
-0.410944744,-0.812052159,-2.874836244,-0.148496196
-0.151481329,-0.165538063,-3.010849503,0.4318544468
-0.112430795,-0.034762281,-2.931074784,0.4896116639
0.2485675693,-0.156511955,-2.430817595,0.6879675368
-0.011788871,-0.392117511,-2.534728018,0.3292711512
-0.315600504,-0.536021691,-3.052983382,0.2907439339
0.6283905175,0.1525346241,-2.269822729,1.0367952963
0.6928132415,0.0491598694,-2.042803073,1.0532162724
-0.163189964,0.0097099718,-3.21839337,0.5025750833
0.113856292,-0.624225247,-2.344933042,0.3125121892
-0.449696484,-0.855149982,-2.908382926,-0.199315934
0.4883720168,0.2136307603,-2.4852681,1.000426485
-0.05211964,-0.025844178,-2.894038615,0.4854674772
0.266075885,-0.080236909,-2.517174759,0.7162652241
1.3390978376,0.5174948156,-1.74315658,1.6112312934
0.9897627598,0.2640645493,-1.96248194,1.3634951528
0.8655067033,0.2987012782,-2.121647942,1.2609187798
0.7760524158,0.3359556668,-2.341341814,1.2368725279
0.8453953907,0.1273646113,-1.866126879,1.1293925446
0.9083368051,0.217662398,-1.90639075,1.2302649828
0.6694330469,0.0786955174,-2.059044931,1.0084902249
0.6969943584,0.1448680106,-2.21474855,1.0688936638
1.0612985296,0.2860240495,-1.771341416,1.3632976538
1.3533317672,0.3805806557,-1.417870372,1.5745331473
-5.639079157,,-5.977272962,-3.435825989
-3.502236973,,-5.216151302,-3.089689376
-7.465390767,,-6.35132071,-3.532705506
-10.03838276,,-6.593684338,-3.563040401
