Johnson Su[F1],Johnson Sb[F2],Johnson Sb[F3],Johnson Su[F4]
1.1950167935,0.3779845738,-1.475777101,1.2135776895
-0.464733269,-1.07219928,-2.87578893,-0.017931388
-0.585818838,-1.164431471,-3.020857555,-0.349344173
-0.635235598,-1.171369882,-3.045573596,-0.161280993
-0.739327494,-1.206400925,-3.122922714,-0.528901073
-0.386616248,-0.861061024,-2.910663084,0.1030104634
-0.452268575,-0.846895152,-2.982000667,0.0476544268
-0.511924195,-1.02360884,-2.91840898,-0.255752513
-0.569992847,-1.032472507,-2.98123113,-0.306478983
-0.246722549,-0.77728632,-2.752388481,0.2283613997
-0.284617285,-0.924884414,-2.696205676,0.0363380077
-0.145364876,-0.813718462,-2.5844865,0.2218881132
-0.185313658,-0.872242755,-2.578344212,-0.000665558
-0.4951967,-1.079343913,-2.921835238,-0.127312648
-0.103569774,-0.783688588,-2.525895964,0.1395384708
-0.305953597,-0.866945523,-2.745917093,0.0342920012
-0.0196125,-0.728003474,-2.503290809,0.4282183024
-0.208606846,-0.830734633,-2.665545203,0.0872196238
-0.164984101,-0.989573342,-2.611136083,-0.152851614
-0.616503403,-1.163156648,-3.066315775,-0.748042169
-0.600047738,-1.232358166,-3.055890418,-0.52110404
-0.744354894,-1.255578794,-3.179892379,-0.710679912
-0.421860426,-0.812850879,-3.032186773,0.0645697441
-0.249054915,-0.878152638,-2.73548244,-0.073680959
-0.200665398,-0.923533979,-2.699239357,0.0186765532
0.1234401586,-0.700471311,-2.312319174,0.1584392864
-0.697685915,-1.187839097,-3.16880432,-0.802705075
-0.013274147,-0.849524848,-2.398111544,-0.056088269
-0.07300377,-0.816163767,-2.485829228,-0.115994589
-0.416667837,-1.055276695,-2.840807969,-0.445437457
-0.50496214,-0.971036014,-2.999482127,-0.494829978
-0.113853526,-0.837554083,-2.527493914,-0.21464715
-0.390618035,-0.884423109,-2.862554767,-0.28010993
-0.092632104,-0.842399578,-2.54706068,0.0193545234
-0.265581459,-0.889178809,-2.660821401,-0.511895147
-0.807032726,-1.406123532,-3.173739693,-1.18454233
-1.250554082,-1.330505039,-3.710172982,-0.660883281
-1.016285719,-1.539134662,-3.389266456,-1.462151774
-1.380458658,-1.453220226,-3.826634715,-0.733185787
-0.876314429,-1.30785556,-3.341023005,-0.320421159
-0.720127804,-1.353038584,-3.143033005,-0.363693548
-0.613247417,-1.327918869,-2.988052789,-0.365174514
-0.909658884,-1.433538193,-3.324508252,-0.492339214
-1.051930238,-1.527392208,-3.460455599,-0.681390355
-0.995974158,-1.541660895,-3.394355814,-1.19745981
-0.561912243,-1.328655695,-2.967567555,-0.22351911
-0.995958006,-1.213149146,-3.530193656,-0.568828682
-1.112496006,-1.265379207,-3.647810334,-0.659710116
-0.819337289,-1.199393789,-3.334416791,-0.430476953
-0.571005925,-1.125347142,-3.066943632,-0.19478007
-0.756930182,-1.192429517,-3.247793294,-0.424962771
-0.686159211,-1.226718797,-3.17965017,-0.374497687
-1.210688825,-1.53425998,-3.593703167,-1.53301927
-1.097824917,-1.569199861,-3.457268566,-1.756406402
-1.183195292,-1.613388629,-3.518797915,-1.813428638
-1.05739812,-1.521713075,-3.367784072,-1.188375611
-0.872312397,-1.47513989,-3.199049064,-1.397756922
-0.766906601,-1.418025682,-3.067232096,-1.527486902
-0.905867677,-1.427649392,-3.244541093,-1.488144509
-0.453578454,-1.155852931,-2.901999279,-0.232336167
-0.625957192,-1.201349792,-3.084890554,-0.350388022
-0.573141485,-1.218859995,-3.020723092,-0.406174395
-0.775426175,-1.327176437,-3.214939012,-0.685148139
-1.213519202,-1.523240341,-3.636925976,-1.297715861
-1.302657932,-1.641467914,-3.67636684,-1.679255974
-1.103042436,-1.522970456,-3.48095344,-1.4933364
-1.007189723,-1.488749358,-3.401298882,-1.247962618
-1.099237153,-1.555259196,-3.466294043,-1.482163353
-1.188149067,-1.609370806,-3.571118051,-1.437090405
-0.956593225,-1.414032244,-3.399059672,-0.487852296
-0.072963085,-1.091394713,-2.337612348,0.0073146637
-0.305015606,-1.156689261,-2.607170913,-0.183780713
-0.158539096,-1.130843642,-2.438906901,-0.067327981
-0.724568415,-1.286396338,-3.171741788,-0.2632231
-0.791531457,-1.334754212,-3.21410824,-0.374238668
-0.4351907,-1.215095521,-2.801439815,-0.136308153
-0.416189036,-1.037305123,-2.81043368,-0.157306538
-1.127867854,-1.354738909,-3.604365551,-0.980449819
-0.749345287,-1.220294787,-3.236208199,-0.557548855
0.1862929739,-0.914960192,-2.116454824,0.223136645
-0.507394126,-1.35578872,-2.903930668,-0.598556682
-0.289468752,-1.290592405,-2.613700186,-0.583466151
-0.423360141,-1.444968516,-2.731195052,-0.832519218
-0.393086879,-0.992370885,-2.910030321,0.0708338853
-0.19509951,-0.906962542,-2.528661088,-0.316811234
-0.264099574,-0.883189181,-2.612822326,-0.410649332
-0.041405439,-0.784992058,-2.358352411,-0.187424064
0.2230144839,-0.710641329,-2.020977001,-0.031619005
0.323121475,-0.671311167,-1.879045623,0.0628743782
-0.435195598,-1.045177661,-2.909440169,-0.1405682
-0.144577589,-0.961806437,-2.567131958,0.0746881573
0.1628107836,-0.807740321,-2.101309639,0.0787763815
-0.371506068,-0.986781053,-2.72165055,-0.466302288
0.385661983,-0.739903641,-1.820092471,0.1973897687
0.5373554145,-0.693259012,-1.637819131,0.3326466908
0.356570364,-0.733498418,-1.87218437,0.1758180971
0.3054464454,-0.756663952,-1.913995886,0.1497229006
-0.162657787,-0.883998827,-2.483165574,-0.433253681
0.2995933099,-0.742794691,-1.918377302,0.0617197989
-0.285870163,-0.90327283,-2.638741729,-0.587795479
-0.379626814,-0.893588636,-2.726178535,-0.846961663
-0.192841617,-0.785976175,-2.498061653,-0.590314627
-0.542579548,-1.103673078,-3.00360525,-0.297897067
-0.508221512,-1.078190626,-3.006396976,-0.27429512
-0.202510502,-0.994874452,-2.66436942,0.0679057352
-0.424415729,-1.065853875,-2.887214754,-0.269729793
-0.456979134,-1.080286261,-2.922541095,-0.31245553
-0.324107685,-1.05021888,-2.766235639,-0.10678677
-1.115610339,-1.379695953,-3.508136365,-1.390975223
-0.113963125,-0.985523731,-2.483777392,-0.010820236
0.027053892,-0.915426065,-2.350760446,0.1704374659
-0.15464086,-0.987165831,-2.563892822,0.0230903101
-0.627257743,-1.175685685,-3.051692011,-0.734765661
0.2494839072,-0.853541461,-2.045315519,0.228553723
-0.324071402,-1.039457036,-2.719882898,-0.442696107
-0.115341051,-0.991903729,-2.487519526,-0.021566542
-0.520227194,-1.089305099,-2.944561402,-0.557006502
-0.259035124,-1.01111848,-2.635746926,-0.384395435
-0.387539067,-1.064441742,-2.784880558,-0.422297719
-0.164075354,-0.926732508,-2.475152136,-0.388085221
-0.352257997,-0.999927675,-2.664283821,-0.81371309
-0.28092458,-0.956036817,-2.578960277,-0.739952921
-0.052102351,-0.92821558,-2.409098852,0.0009866509
0.0229224776,-0.916925714,-2.286143227,-0.028444876
